	LOCATION	FILENAME	DATE	RUNID
95	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180501_163855_TK2.fas	2018-05-01 00:00:00	163855
96	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180501_163855_pol1.fas	2018-05-01 00:00:00	163855
97	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180501_163855_pol2.fas	2018-05-01 00:00:00	163855
98	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180504_163939.fas	2018-05-04 00:00:00	163939
99	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180511_164090_pol1.fas	2018-05-11 00:00:00	164090
100	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180523_164311_TK2.fas	2018-05-23 00:00:00	164311
101	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180523_164311_pol1.fas	2018-05-23 00:00:00	164311
102	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180523_164311_pol2.fas	2018-05-23 00:00:00	164311
103	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180629_165027_TK1.fas	2018-06-29 00:00:00	165027
104	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180710_165232_TK2.fas	2018-07-10 00:00:00	165232
105	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180710_165232_pol2.fas	2018-07-10 00:00:00	165232
106	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180712_165313_pol1.fas	2018-07-12 00:00:00	165313
107	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180713_165347_TK2.fas	2018-07-13 00:00:00	165347
108	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180723_165511_TK2.fas	2018-07-23 00:00:00	165511
109	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180731_165653_TK2.fas	2018-07-31 00:00:00	165653
110	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180731_165653_pol2.fas	2018-07-31 00:00:00	165653
111	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180803_165735_TK2.fas	2018-08-03 00:00:00	165735
112	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180807_165809_pol2.fas	2018-08-07 00:00:00	165809
113	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180808_165836_pol2.fas	2018-08-08 00:00:00	165836
114	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180809_165884_pol2.fas	2018-08-09 00:00:00	165884
115	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180810_165920_TK1.fas	2018-08-10 00:00:00	165920
116	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180813_165929_TK2.fas	2018-08-13 00:00:00	165929
117	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180815_166041_TK1.fas	2018-08-15 00:00:00	166041
118	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180816_166076_pol1.fas	2018-08-16 00:00:00	166076
119	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180828_166262_pol1.fas	2018-08-28 00:00:00	166262
120	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180831_166406_TK1.fas	2018-08-31 00:00:00	166406
121	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180831_166406_TK2.fas	2018-08-31 00:00:00	166406
122	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180831_166406_pol1.fas	2018-08-31 00:00:00	166406
123	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180831_166408_TK1.fas	2018-08-31 00:00:00	166408
124	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180831_166408_pol1.fas	2018-08-31 00:00:00	166408
125	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180904_166454_TK2.fas	2018-09-04 00:00:00	166454
126	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180904_166454_pol2.fas	2018-09-04 00:00:00	166454
127	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180910_166568_TK1.fas	2018-09-10 00:00:00	166568
128	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180910_166568_pol1.fas	2018-09-10 00:00:00	166568
129	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180910_166619_TK1.fas	2018-09-10 00:00:00	166619
130	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180910_166619_TK2.fas	2018-09-10 00:00:00	166619
131	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180915_166720_pol1.fas	2018-09-15 00:00:00	166720
132	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180915_166720_pol2.fas	2018-09-15 00:00:00	166720
133	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180918_166750_TK1.fas	2018-09-18 00:00:00	166750
134	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180918_166750_TK2.fas	2018-09-18 00:00:00	166750
135	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180918_166750_pol2.fas	2018-09-18 00:00:00	166750
136	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180919_166773_pol2.fas	2018-09-19 00:00:00	166773
137	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180920_166794_pol2.fas	2018-09-20 00:00:00	166794
138	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180921_166794_pol2.fas	2018-09-21 00:00:00	166794
139	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180924_166840_TK1.fas	2018-09-24 00:00:00	166840
140	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180924_166840_pol1.fas	2018-09-24 00:00:00	166840
141	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180924_166840_pol2.fas	2018-09-24 00:00:00	166840
142	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181001_166985_TK1.fas	2018-10-01 00:00:00	166985
143	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181001_166985_TK2.fas	2018-10-01 00:00:00	166985
144	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181005_167091_TK1.fas	2018-10-05 00:00:00	167091
145	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181005_167091_TK2.fas	2018-10-05 00:00:00	167091
146	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181011_167227_pol2.fas	2018-10-11 00:00:00	167227
147	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181019_167346_TK1.fas	2018-10-19 00:00:00	167346
148	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181019_167346_TK2.fas	2018-10-19 00:00:00	167346
149	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181022_167387_pol1.fas	2018-10-22 00:00:00	167387
150	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181022_167387_pol2.fas	2018-10-22 00:00:00	167387
151	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181023_167413_TK1.fas	2018-10-23 00:00:00	167413
152	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181024_167447_pol1.fas	2018-10-24 00:00:00	167447
153	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181026_167498_TK1.fas	2018-10-26 00:00:00	167498
154	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	181026_167498_TK2.fas	2018-10-26 00:00:00	167498
